,name,acres,shore_miles,county
3008,,8.68262873,0.48014571,
3009,,2.00043256,0.25852067,
3010,,0.20714702,0.06935035,
3011,,9.99170175,1.05362144,
3012,,0.17863905,0.06166051,
3013,,0.35491343,0.10080354,
3014,,0.30415753,0.08824758,
3015,,0.29668274,0.08312593,
3016,,0.77677917,0.17713306,
3017,,0.22735331,0.07154886,
3018,,0.24150986,0.07359887,
3019,,0.21983393,0.07607883,
3020,,0.34458558,0.08623748,
3021,,0.24294562,0.07831475,
3022,,0.23981957,0.07386623,
3023,,1.45842908,0.17978428,
3024,,0.74526106,0.14670575,
3025,,7.45577086,0.55249843,
3026,,0.24127522,0.07138699,
3027,,6.16077808,0.40966609,
3028,,0.75469623,0.17175716,
3029,,0.30969289,0.08955424,
3030,,0.3669413,0.09196732,
3031,,2.09611977,0.40601921,
3032,,0.19575652,0.07086245,
3033,,0.47078905,0.1358664,
3034,,0.63199524,0.11765487,
3035,Heights,2.99478808,0.39263737,Hennepin
3036,Unnamed,59.23221398,1.9460099,Crow Wing
3037,Nora WMA,75.22622033,2.26588133,Pope
3038,Unnamed,29.47531789,1.01509592,Pope
3039,Unnamed,6.10106606,0.47154868,Hennepin
3040,,2.36176956,0.23899277,
3041,,0.76080141,0.18382803,
3042,,0.22566968,0.06918318,
3043,,0.50210405,0.11708893,
3044,Unnamed,14.59677422,0.58564878,Grant
3045,Unnamed,28.2713535,1.05865554,Yellow Medicine
3046,,5.00101382,0.42258802,
3047,,1.01900328,0.15879828,
3048,,0.14263579,0.05430475,
3049,Zerbe Pond,0.94801173,0.14297683,Winona
3050,Unnamed,7.64857498,0.6033703,Cass
3051,,0.64795879,0.13282603,
3052,Rollag WPA,15.05607949,1.29104451,Clay
3053,,0.17936044,0.06847014,
3054,,0.68231418,0.14361663,
3055,Unnamed,60.48234527,3.32579883,Anoka
3056,,3.78318157,0.32470236,
3057,,1.3511039,0.18260846,
3058,,1.01735724,0.15511125,
3059,,5.00445484,0.45421265,
3060,,1.39514367,0.17480372,
3061,,0.40346587,0.09807741,
3062,,1.56612075,0.25356599,
3063,,0.32575951,0.08871419,
3064,,0.14751494,0.05534562,
3065,,1.15204402,0.16243028,
3066,,0.65807718,0.1337412,
3067,,0.14854619,0.06243793,
3068,,0.44165775,0.11842975,
3069,,0.23184556,0.06928597,
3070,,0.17493764,0.06727514,
3071,,1.66446792,0.20304938,
3072,,0.91443079,0.16534822,
3073,,0.35097185,0.0853734,
3074,,0.3883835,0.09255608,
3075,,0.48035684,0.0997112,
3076,,0.11103702,0.05603359,
3077,,1.7685561,0.32503145,
3078,,0.20895239,0.0646905,
3079,,0.23736646,0.073479,
3080,,0.22924339,0.07434957,
3081,,0.10742459,0.048347,
3082,,2.09690645,0.26100463,
3083,,0.13062853,0.05180245,
3084,,0.17965129,0.0655756,
3085,,0.36433621,0.09516031,
3086,,0.35680172,0.10533827,
3087,,0.17240146,0.06092743,
3088,,1.98976873,0.22669439,
3089,,4.46208283,0.42060956,
3090,,1.38764321,0.30520377,
3091,,0.21840374,0.07257164,
3092,,2.8245347,0.42289372,
3093,,5.56583735,0.68621742,
3094,,0.23253585,0.07646008,
3095,,0.4629771,0.10159662,
3096,,0.18418094,0.06203709,
3097,,0.11141142,0.05025627,
3098,,3.7459979,0.51785278,
3099,,0.1631562,0.06075728,
3100,,0.10945928,0.05506013,
3101,,0.27802271,0.08469438,
3102,,0.1943102,0.06429397,
3103,,1.07459719,0.24015017,
3104,,0.20938852,0.06861126,
3105,,0.17875686,0.06428091,
3106,,0.35960855,0.08913028,
3107,,0.15269897,0.0578099,
3108,Unnamed,12.10741759,0.67474388,Becker
