,name,acres,shore_miles,county
6635,McCormack,54.93240736,1.49128115,St. Louis
6636,Osterberg,103.9421005,2.30705858,Pope
6637,Union,92.93514819,1.51384712,Wright
6638,Kelsey,133.8122299,2.38440745,St. Louis
6639,South Maple,41.48587905,1.82937923,Otter Tail
6640,Whiskey,14.98363264,0.71351887,Marshall
6641,Sommer,198.5813689,4.88451247,Otter Tail
6642,Hoosier,102.8596111,1.70733895,Meeker
6643,Heart,18.66857258,0.8576625,Otter Tail
6644,Unnamed,27.26797228,1.06596253,Otter Tail
6645,Lady Slipper,286.1498395,4.24398269,Lyon
6646,Dark,119.6058002,3.05121459,Koochiching
6647,Swains,31.7444734,1.03361591,Le Sueur
6648,Chandler Marsh,11.58678027,0.78508888,Murray
6649,Unnamed,11.92277902,1.24965147,Lake
6650,Croxton Pond,43.77517913,1.44625057,St. Louis
6651,,16.29749941,1.17088491,
6652,,13.08945355,0.99905286,
6653,,11.36215611,0.6331127,
6654,Unnamed,14.72060393,1.22297002,St. Louis
6655,Unnamed,51.95353167,3.46669962,Polk
6656,Anderson,12.35449394,0.54118346,Otter Tail
6657,Unnamed,39.69546993,1.75402989,Itasca
6658,Unnamed,29.04491794,1.47771773,Clay
6659,Big McDonald,2242.049629,20.57194961,Otter Tail
6660,Leech,103039.5963,186.2316597,Cass
6661,Neglige,32.14937572,1.52541939,Lake
6662,Trout,1862.075568,13.88942677,Itasca
6663,Aunie,23.13273612,0.80716557,Otter Tail
6664,,27.16905701,1.70442969,
6665,,27.44430139,1.50179553,
6666,,16.81924924,1.12156032,
6667,,16.3421627,1.42255261,
6668,,10.73079628,1.26901103,
6669,Clear (Threemile),21.98402857,0.82025808,St. Louis
6670,Mud,23.78472326,1.0377746,Crow Wing
6671,Jennison,24.57078558,1.34605179,Crow Wing
6672,Unnamed,20.51272389,0.77219391,Crow Wing
6673,Unnamed,24.9798802,1.11308433,Douglas
6674,Little Puposky,128.6566174,1.95452994,Beltrami
6675,Unnamed,26.90593396,1.44393731,Cass
6676,Unnamed,14.20712509,0.6061406,Carlton
6677,Unnamed,39.47500616,0.90523327,Traverse
6678,Unnamed,12.45854249,0.55696956,Todd
6679,Unnamed,11.25529437,0.48827418,McLeod
6680,Unnamed,13.01323394,0.58801235,Otter Tail
6681,Unnamed,10.67687589,0.65202538,Isanti
6682,Unnamed,25.69284459,0.81513613,Hennepin
6683,Unnamed,19.30259765,1.30445307,Meeker
6684,Unnamed,21.05793552,0.80873489,Crow Wing
6685,Calf,14.15420908,1.13077433,Cook
6686,Squeedunk,16.88105281,0.61744776,Cass
6687,Unnamed,12.27779718,0.54694405,Becker
6688,Hanska,1794.96648,21.27692949,Brown
6689,Unnamed,44.60871162,2.02796409,Swift
6690,Unnamed,83.0081426,1.3403725,Polk
6691,Fable,12.17837895,0.76305415,Lake
6692,Unnamed,32.76205623,1.43560553,Otter Tail
6693,,11.09297895,0.58436548,Douglas
6694,Little O'Brien,196.6952757,8.42608996,Itasca
6695,Man,491.0488401,4.49659053,Cass
6696,Sylvan,894.0259512,11.10651821,Cass
6697,Minnie-Belle,596.5776051,4.85870534,Meeker
6698,Cedar,706.8733463,9.49832315,Martin
6699,Five,244.6292368,3.86873002,Otter Tail
6700,Darlet,13.31445357,0.71382593,Lake
6701,Hefta,126.1182053,2.55996056,Kandiyohi
6702,Unnamed,14.53103642,1.01227747,Otter Tail
6703,Camile,25.73916133,0.78594275,Morrison
6704,Dog,195.4461146,3.03398185,Le Sueur
6705,Unnamed,58.97384537,1.86398846,Otter Tail
6706,Fladmark,59.33856427,1.6727977,Otter Tail
6707,Kersting,135.5861426,3.34535496,Mahnomen
6708,Flat,70.7231985,1.63971609,Mahnomen
6709,Phospor,29.47643467,1.34768983,Lake
6710,T,295.005376,6.07311263,Lake
6711,Unnamed,33.54299825,1.34144644,Otter Tail
6712,Ox,11.72465481,0.9061791,Ramsey
6713,Silver,884.1730465,10.41557672,Otter Tail
6714,Pulaski,813.2649574,5.90972408,Wright
6715,Erskine,182.3011163,2.17263083,Crow Wing
6716,Shaman,49.34562055,1.27929519,St. Louis
6717,Sandabacka,27.57491401,0.76232683,Aitkin
6718,Courtney,21.92503687,0.92062052,Itasca
6719,Salter Pond,23.58375768,0.75337581,Itasca
6720,Coleman,49.91143032,1.23948489,Itasca
6721,Unnamed,15.90152346,0.60299516,Cass
6722,Unnamed,24.5286963,0.82600889,Chisago
6723,Volen,74.96068909,1.78737524,Otter Tail
6724,Solem,36.31714652,0.93410776,Douglas
6725,Unnamed,17.56721207,0.76148691,Stevens
6726,Unnamed,167.4319867,3.77981922,Sherburne
6727,,15.06507616,0.66521251,
6728,,23.25956851,1.11124672,
6729,North Twin,325.6352236,3.75433217,Beltrami
6730,Nelson,30.95011895,1.29025653,Beltrami
6731,Unnamed,12.74343039,0.69431657,Becker
6732,Boogun,43.44888525,2.08040526,Becker
6733,Portage,360.6554516,3.57447139,Cass
6734,Courthouse,12.01578498,0.64556556,Carver
6735,Henry,152.11978,1.98844192,Douglas
6736,Bootleg,332.3591969,7.26466482,Beltrami
6737,Gijik,86.04734188,1.67671626,Cass
6738,Unnamed,12.27349434,0.5947891,Big Stone
6739,South Rothwell,141.5031558,2.4199321,Big Stone
6740,Unnamed,14.80163069,0.65075082,Benton
6741,Unnamed (Great Lake Pond),38.18083378,0.9708633,Beltrami
6742,Unnamed,10.02402736,0.49967783,Big Stone
6743,Oak,108.278508,2.48653681,Lincoln
6744,Unnamed,12.27172399,0.83024967,Hubbard
6745,Unnamed,21.16524172,1.30874937,Wright
6746,Unnamed,25.52125893,1.00981326,Polk
6747,Unnamed,12.91549572,0.52731945,Otter Tail
